,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,pred
855,1998-11-06,8.5,8.8,8.63,8.34,24824.0,0.13,1.53,8.8,8.78,8.615,53798.6,57382.6,52323.2,7.37,8.5
856,1998-10-30,8.4,8.88,8.5,8.36,28527.0,-0.11,-1.28,8.857999999999999,8.775,8.679,53096.0,63729.3,52744.6,8.47,8.63
857,1998-10-23,9.25,9.42,8.61,8.52,42454.0,-0.6,-6.51,8.896,8.821,8.731,58182.0,74746.9,53103.5,12.61,8.5
858,1998-10-16,9.15,9.9,9.21,9.1,118963.0,0.16,1.77,8.942,8.832,8.796,75267.6,81959.4,53772.95,35.33,8.61
859,1998-10-09,8.96,9.33,9.05,8.3,54225.0,0.13,1.46,8.874,8.658999999999999,8.883,63077.6,71935.2,52767.5,16.1,9.21
860,1998-09-30,8.6,9.08,8.92,8.48,21311.0,0.23,2.65,8.76,8.512,8.92,60966.6,67561.9,51887.75,6.33,9.05
861,1998-09-25,8.78,9.43,8.69,8.38,53957.0,-0.15,-1.7,8.692,8.419,8.96,74362.6,67257.7,54276.65,16.02,8.92
862,1998-09-18,8.78,9.95,8.84,8.68,127882.0,-0.03,-0.34,8.746,8.325,9.026,91311.8,63922.3,59682.45,37.98,8.69
863,1998-09-11,8.7,9.08,8.87,8.41,58013.0,0.39,4.6,8.722000000000001,8.296,9.03,88651.2,52934.2,57047.35,17.23,8.84
864,1998-09-04,8.45,8.82,8.48,7.8,43670.0,-0.1,-1.17,8.443999999999999,8.345,8.982999999999999,80792.8,48506.4,57621.85,12.97,8.87
865,1998-08-28,8.94,9.47,8.58,8.45,88291.0,-0.38,-4.24,8.264,8.45,8.962,74157.2,47263.8,58476.5,26.22,8.48
866,1998-08-21,8.7,9.35,8.96,7.76,138703.0,0.24,2.75,8.146,8.582,8.923,60152.8,41759.9,60925.8,41.19,8.58
867,1998-08-14,7.5,8.97,8.72,7.48,114579.0,1.24,16.58,7.904,8.641,8.897,36532.8,31460.1,58120.2,34.03,8.96
868,1998-08-07,7.48,7.97,7.48,7.32,18721.0,-0.1,-1.32,7.87,8.759,8.834,17217.2,25586.5,54471.9,5.56,8.72
869,1998-07-31,7.98,7.98,7.58,7.51,10492.0,-0.41,-5.13,8.246,9.107000000000001,8.8,16220.0,33599.8,54355.85,3.12,7.48
870,1998-07-24,7.51,8.0,7.99,7.2,18269.0,0.24,3.1,8.636000000000001,9.327,8.756,20370.4,36213.6,54548.95,5.43,7.58
871,1998-07-17,8.55,8.55,7.75,7.55,20603.0,-0.8,-9.36,9.017999999999999,9.501,8.698,23367.0,41295.6,54365.75,6.12,7.99
872,1998-07-10,9.45,9.64,8.55,8.22,18001.0,-0.81,-8.65,9.378,9.726,8.66,26387.4,55442.6,54199.55,5.35,7.75
873,1998-07-03,9.55,9.57,9.36,9.0,13735.0,-0.17,-1.78,9.648,9.764,8.587,33955.8,61160.5,54793.85,4.49,8.55
874,1998-06-26,9.98,10.33,9.53,9.3,31244.0,-0.37,-3.74,9.968,9.62,8.484,50979.6,66737.3,56776.6,10.21,9.36
875,1998-06-19,9.12,10.21,9.9,9.08,33252.0,0.35,3.67,10.017999999999999,9.472999999999999,8.346,52056.8,69689.2,57965.65,10.86,9.53
876,1998-06-12,10.0,10.0,9.55,9.01,35705.0,-0.35,-3.54,9.984,9.263,8.193999999999999,59224.2,80091.7,60401.55,11.66,9.9
877,1998-06-05,10.95,10.96,9.9,9.78,55843.0,-1.06,-9.67,10.074,9.152000000000001,8.015,84497.8,84780.3,59955.55,18.24,9.55
878,1998-05-29,9.78,11.2,10.96,9.7,98854.0,1.18,12.06,9.88,8.908999999999999,7.821000000000001,88365.2,83357.3,58013.0,32.29,9.9
879,1998-05-22,9.63,9.99,9.78,9.19,36630.0,0.05,0.51,9.272,8.493,7.571000000000001,82495.0,75111.9,55704.6,11.97,10.96
880,1998-05-15,10.0,10.55,9.73,9.58,69089.0,-0.27,-2.7,8.927999999999999,8.185,7.357,87321.6,72884.3,54711.2,22.57,9.78
881,1998-05-08,9.1,10.7,10.0,9.1,162073.0,1.07,11.98,8.542,7.895,7.131,100959.2,67435.9,51623.6,52.94,9.73
